FID,LATDD,LONDD,AGE,RECON,ADT_029,STRUCTURE_KIND_043A,UNSAFE
32025220_097311316,32.04783333333333,-97.52032222222222,67.0,0,1204,1,0
32001043_097290301,32.002897222222224,-97.48416944444445,67.0,0,1598,4,0
31570492_097272517,31.951366666666665,-97.45699166666667,67.0,0,1049,4,0
31524005_097255622,31.877791666666667,-97.43228333333334,67.0,0,1917,1,0
31593234_097510350,31.992316666666667,-97.85097222222221,69.0,0,533,1,0
31595716_097495378,31.999211111111112,-97.83160555555556,69.0,0,533,1,0
32000182_097491967,32.000505555555556,-97.82213055555555,69.0,0,533,1,0
32003772_097480744,32.01047777777778,-97.80206666666666,69.0,0,702,1,0
32010661_097465743,32.018502777777776,-97.78261944444445,69.0,0,702,4,0
31591202_097522193,31.98667222222222,-97.87275833333332,62.0,0,891,6,0
32003458_097364646,32.00960555555555,-97.61290555555556,76.0,0,1550,4,0
31593164_097381233,31.992122222222225,-97.63675833333333,18.0,1,1550,1,0
32030112_097352521,32.05031111111111,-97.5903361111111,72.0,0,1257,2,0
32034280_097345289,32.06188888888889,-97.58135833333333,18.0,1,1257,1,0
32035850_097343936,32.06625,-97.57759999999999,18.0,1,1257,1,0
32050022_097324394,32.083394444444444,-97.54553888888888,72.0,0,1448,1,0
32053342_097314530,32.09261666666667,-97.52925,18.0,1,1751,1,0
31495088_097302858,31.8308,-97.50793888888889,63.0,1,2572,1,0
31503782_097291068,31.84383888888889,-97.4863,75.0,0,2154,1,0
31471705_097334374,31.788069444444446,-97.56215,16.0,1,2523,1,0
31431603_097344734,31.721119444444444,-97.57981666666666,62.0,0,1633,4,0
31420010_097353908,31.700027777777777,-97.59418888888888,21.0,0,385,5,0
31394815_097352537,31.663375,-97.59038055555556,13.0,0,448,5,0
32031629_097421396,32.054525,-97.70387777777778,73.0,0,456,1,0
32021730_097403066,32.03813888888889,-97.67518333333334,73.0,0,553,1,0
32014042_097392550,32.02789444444444,-97.65708333333333,73.0,0,553,1,0
32005694_097364863,32.015816666666666,-97.61350833333333,34.0,1,553,1,0
32003302_097332734,32.00917222222222,-97.55759444444445,27.0,0,358,5,0
32003180_097344254,32.008833333333335,-97.57848333333332,27.0,0,358,5,0
31392891_097292414,31.658030555555555,-97.49003888888889,50.0,0,632,1,0
31374921_097353199,31.630336111111113,-97.59221944444444,1.0,0,471,1,0
31384086_097335656,31.644683333333333,-97.56571111111111,1.0,0,471,1,0
31385078_097333620,31.64743888888889,-97.56005555555555,1.0,0,684,5,0
31394479_097303497,31.662441666666666,-97.50971388888888,0.0,0,1000,5,0
31392552_097301376,31.657088888888886,-97.50382222222223,1.0,0,825,1,0
31404015_097265460,31.677819444444445,-97.44850000000001,16.0,1,1024,1,0
32041834_097530950,32.071761111111115,-97.88597222222224,76.0,0,100,1,0
31453126_097375080,31.758683333333334,-97.63077777777777,50.0,1,942,3,0
31460675_097494385,31.768541666666664,-97.82884722222222,74.0,0,350,1,0
31442462_097391877,31.740172222222224,-97.6552138888889,0.0,0,1900,5,0
31472264_097285320,31.789622222222224,-97.48144444444445,71.0,0,272,1,0
31474188_097281795,31.794966666666667,-97.47165277777778,11.0,0,272,5,0
31422837_097395267,31.707880555555555,-97.66463055555556,73.0,0,250,1,0
31421162_097395685,31.703227777777776,-97.66579166666668,71.0,0,250,4,0
31443213_097395905,31.742258333333336,-97.66640277777779,54.0,0,212,1,0
31524338_097455173,31.878716666666666,-97.76436944444444,70.0,0,100,1,0
32094826_097400453,32.163405555555556,-97.66792500000001,69.0,0,558,4,0
32104478_097364086,32.17910555555555,-97.61134999999999,65.0,0,725,1,0
32090624_097350702,32.15173333333333,-97.58528333333332,65.0,0,725,1,0
32060175_097331835,32.10048611111111,-97.55509722222222,65.0,0,760,1,0
31485939_097391698,31.816497222222225,-97.65471666666667,68.0,0,331,1,0
