FID,LATDD,LONDD,AGE,RECON,ADT_029,STRUCTURE_KIND_043A,UNSAFE
33072993_097065969,33.12498055555555,-97.11658055555554,5.0,0,2280,1,0
33071020_097091465,33.1195,-97.15406944444445,8.0,0,100,1,0
33243481_096551535,33.40966944444444,-96.92093055555556,10.0,0,100,1,0
33094479_097171197,33.162441666666666,-97.28665833333334,,0,1100,5,0
33200366_096573820,33.33435,-96.96061111111112,10.0,0,75,1,0
33054027_097074559,33.094519444444444,-97.12933055555555,22.0,0,500,5,0
33155393_097011401,33.26498055555555,-97.02055833333333,29.0,0,112,1,0
33025013_097155548,33.04725833333333,-97.2654111111111,1.0,0,3458,5,0
33063504_097072057,33.10973333333334,-97.12238055555555,16.0,0,2500,5,0
33190937_096532854,33.31926944444445,-96.89126111111112,10.0,0,100,1,0
33223810_096545958,33.377250000000004,-96.91655,10.0,0,150,1,0
33131807_097082479,33.22168611111111,-97.14021944444445,54.0,0,1586,1,0
33132361_097081070,33.223225,-97.13630555555557,57.0,0,216,1,0
33085559_097092595,33.148775,-97.15720833333334,34.0,0,200,1,0
33130490_097075407,33.21802777777778,-97.13168611111111,74.0,0,216,1,0
33131349_097075192,33.22041388888889,-97.13108888888888,69.0,0,484,1,0
33130425_097073921,33.217847222222225,-97.12755833333333,63.0,0,14544,1,0
33123238_097074985,33.20899444444445,-97.13051388888888,24.0,1,23886,1,0
33130083_097073831,33.21689722222222,-97.12730833333333,24.0,0,23886,1,0
33130097_097073840,33.21693611111111,-97.12733333333333,44.0,1,1267,1,0
33102244_097055856,33.1729,-97.0996,17.0,0,280,1,0
33102748_097061019,33.174299999999995,-97.10283055555556,24.0,0,280,1,0
33131963_097080601,33.222119444444445,-97.13500277777779,64.0,0,1463,1,0
33104801_097094882,33.18000277777777,-97.16356111111112,17.0,0,165,5,0
33104269_097094852,33.178525,-97.16347777777779,17.0,0,165,5,0
33141684_097093881,33.23801111111111,-97.16078055555556,35.0,0,11787,1,0
33143899_097061308,33.24416388888889,-97.10363333333333,54.0,0,185,1,0
33132957_097081315,33.22488055555556,-97.13698611111111,54.0,0,20040,1,0
33130731_097081330,33.218697222222225,-97.13702777777779,54.0,0,20040,1,0
33115061_097064153,33.19739166666666,-97.1115361111111,33.0,0,14317,1,0
33130965_097081978,33.219347222222225,-97.13882777777778,74.0,0,4500,1,0
33133562_097084037,33.22656111111111,-97.14454722222223,59.0,0,925,1,0
33133176_097083505,33.22548888888889,-97.14306944444445,60.0,0,4000,1,0
33133176_097081410,33.22548888888889,-97.13725000000001,60.0,0,5000,1,1
33131334_097081954,33.220372222222224,-97.13876111111112,60.0,0,670,1,0
33125923_097072934,33.21645277777778,-97.12481666666666,18.0,0,1411,1,0
33133395_097083586,33.22609722222222,-97.14329444444445,64.0,0,3200,1,0
33131465_097123621,33.220736111111115,-97.21005833333334,24.0,0,104,1,0
33131718_097130515,33.22143888888889,-97.21809722222223,25.0,0,100,1,0
33132449_097151855,33.22346944444445,-97.25515277777778,74.0,0,62,1,1
33131126_097115752,33.219794444444446,-97.19931111111111,27.0,0,55,5,0
33130957_097112666,33.219325000000005,-97.19073888888889,29.0,0,1011,1,0
33131078_097115271,33.219661111111115,-97.197975,29.0,0,1011,1,0
33145654_097063082,33.24903888888889,-97.1085611111111,24.0,1,200,1,0
33134850_097033824,33.23013888888889,-97.06062222222222,23.0,0,200,1,0
33095849_097041561,33.16624722222222,-97.07100277777778,24.0,0,10730,1,0
33130690_097115064,33.218583333333335,-97.1974,34.0,0,250,1,0
33124831_097115101,33.21341944444445,-97.19750277777779,34.0,0,210,5,0
33122469_097050287,33.20685833333334,-97.08413055555555,16.0,0,6400,5,0
33134185_097045809,33.22829166666667,-97.08280277777777,5.0,0,3500,5,0
33132719_097045962,33.224219444444444,-97.08322777777778,4.0,0,6793,1,0
33105267_097050826,33.18129722222222,-97.08562777777777,54.0,0,14829,1,0
33121613_097050314,33.204480555555556,-97.08420555555556,4.0,0,14829,1,0
33115160_097050518,33.19766666666666,-97.08477222222221,4.0,0,14829,1,0
