Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
1993,0015450,ALTO RURAL WSC,"4,500",Ground Water,SS,I,CHEROKEE,NECHES,CHEROKEE,NECHES,CARRIZO-WILCOX AQUIFER,,N/A,5,N,N,0.00,"7,725,700","7,389,100","4,484,300","7,607,000","7,543,900","8,252,400","10,163,700","11,491,500","10,252,400","10,164,600","8,651,500","8,177,600","101,903,700"
1993,0037474,MONARCH UTILITIES LP-IVANHOE LAND OF LAKES,"2,319",Ground Water,SS,I,TYLER,NECHES,TYLER,NECHES,GULF COAST AQUIFER,,N/A,4,N,N,0.00,"2,644,900","2,052,100","2,567,800","2,647,100","2,966,200","2,990,800","4,191,800","4,009,500","3,320,900","2,825,200","2,792,300","2,618,500","35,627,100"
1993,0059450,BAYOU PINES TRAILER PARK,100,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,2,N,N,0.00,"190,300","187,200","219,800","202,700","242,600","198,600","194,000","174,300","162,900","206,400","216,700","242,600","2,438,100"
1993,0060138,WATER NECESSITIES INC-CLAIRE STREET WATER SYSTEM,0,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,1,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"1,916,250","1,916,250"
1993,0060139,COMMUNITY WATER SYSTEMS-CHERRY HILL SUBDIVISION SYSTEM,0,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,1,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"1,733,750","1,733,750"
1993,0060146,COMMUNITY WATER SYSTEMS-LAKEVIEW ESTATES WATER SUPPLY,0,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,1,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"3,504,000","3,504,000"
1993,0060147,ORANGE COUNTY WCID 1-HOUSEMAN ADDITION (PARK),0,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,1,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"3,613,500","3,613,500"
1993,0060148,COMMUNITY WATER SYSTEMS-SUSAN CIRCLE WATER SUPPLY,0,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,1,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"1,861,500","1,861,500"
1993,0060149,BIRD NEST ADDITION SYSTEM,0,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,2,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"1,314,000","1,314,000"
1993,0060153,COMMUNITY WATER SYSTEMS-HICKORY HOLLOW WATER SUPPLY,0,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,1,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"985,500","985,500"
